USER;TIPO;CODE;ORIGINAL;SPAIN;LATAM
0;movie;1375666;Inception;Origen (Spain);El origen (Chile)
0;movie;7146812;Onward;Onward (Spain);Unidos (Chile)
0;movie;6966692;Green Book;Green Book (Spain);Green Book: Una amistad sin fronteras (Chile)
0;show;6470478;The Good Doctor;The Good Doctor (Spain);ND
0;show;3566726;Jane the Virgin;Jane the Virgin (Spain);ND
0;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
1;movie;0364569;Oldboy;Old Boy (Spain);Old Boy (Chile)
1;movie;0172495;Gladiator;Gladiator (Spain) (alternative title);Gladiador (Chile)
1;movie;0094625;Akira;Akira (Spain);Akira (Chile)
1;show;0213338;Cowboy Bebop;Cowboy Bebop (Spain);Cowboy Bebop (Argentina)
1;show;0472954;It's Always Sunny in Philadelphia;Colgados en Filadelfia (Spain);ND
1;show;0141842;The Sopranos;Los Soprano (Spain);Los Soprano (Argentina)
2;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
2;movie;1396484;It;It (Spain);It (Eso) (Chile)
2;movie;7349950;It Chapter Two;It: Capítulo 2 (Spain);It capítulo 2 (Chile)
2;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
2;show;0412142;House;House (Spain);Dr. House (Chile)
2;show;0877057;Death Note;Death Note (Spain);Death Note (Argentina)
3;movie;3622592;Paper Towns;Ciudades de papel (Spain);Ciudades de papel (Chile)
3;movie;1636826;Project X;Project X (Spain);Proyecto X (Chile)
3;show;4580372;Merlí;Merlí (Spain) (Catalan title);ND
3;show;7134908;Elite;Élite (Spain);ND
3;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
4;movie;0443274;Vantage Point;En el punto de mira (Spain);Puntos de vista (Argentina)
4;movie;0338526;Van Helsing;Van Helsing (Spain);Van Helsing: El cazador de monstruos (Argentina)
4;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
4;show;1196946;The Mentalist;El mentalista (Spain);El mentalista (Argentina)
4;show;5180504;The Witcher;The Witcher (Spain);The Witcher (Argentina)
4;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
5;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
5;movie;0120815;Saving Private Ryan;Salvar al soldado Ryan (Spain);Rescatando al soldado Ryan (Argentina)
5;movie;2119532;Hacksaw Ridge;Hasta el último hombre (Spain);Hasta el último hombre (Chile)
5;show;1442437;Modern Family;Modern Family (Spain);Modern Family (Argentina)
5;show;4326894;F Is for Family;F is for Family (Spain);F is for Family (Argentina)
5;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
6;movie;8579674;1917;1917 (Spain);1917 (Chile)
6;movie;0993846;The Wolf of Wall Street;El lobo de Wall Street (Spain);El lobo de Wall Street (Chile)
6;movie;0137523;Fight Club;El club de la lucha (Spain);El club de la pelea (Argentina)
6;show;0212671;Malcolm in the Middle;Malcolm (Spain);Malcolm (Argentina)
6;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
6;show;5753856;Dark;Dark (Spain);Dark (Argentina)
7;movie;0327597;Coraline;Los mundos de Coraline (Spain);Coraline y la puerta secreta (Argentina)
7;movie;2872732;Lucy;Lucy (Spain);Lucy (Chile)
7;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
7;show;5753856;Dark;Dark (Spain);Dark (Argentina)
7;show;7562112;Pose;Pose (Spain);ND
7;show;0096697;The Simpsons;Los Simpson (Spain);Los Simpson (Argentina)
8;movie;2674426;Me Before You;Antes de ti (Spain);Yo antes de ti (Chile)
8;movie;1972779;The Best of Me;Lo mejor de mí (Spain);Lo mejor de mí (Chile)
8;movie;1294226;The Last Song;La última canción (Spain);La última canción (Argentina)
8;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
8;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
8;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
9;movie;1049413;Up;Up (Spain);Up: Una Aventura de Altura (Chile)
9;movie;0167260;The Lord of the Rings: The Return of the King;El señor de los anillos: El retorno del rey (Spain);El señor de los anillos: El retorno del rey (Argentina)
9;movie;0457510;Nacho Libre;Super Nacho (Spain);ND
9;show;4508902;One Punch Man;One Punch Man (Spain);ND
9;show;11428586;Somali and the Forest Spirit;ND;ND
9;show;2098220;Hunter x Hunter;Hunter x Hunter (Spain);ND
10;movie;0433035;Real Steel;Acero puro (Spain);Gigantes de acero (Chile)
10;movie;0393162;Coach Carter;Entrenador Carter (Spain) (literal title);Juego de honor (Argentina) (video title)
10;movie;1637725;Ted;Ted (Spain);Ted (Chile)
10;show;6317068;Final Space;Final Space (Spain);ND
10;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
10;show;5180504;The Witcher;The Witcher (Spain);The Witcher (Argentina)
11;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
11;movie;0167261;The Lord of the Rings: The Two Towers;El señor de los anillos: Las dos torres (Spain);El señor de los anillos: Las dos torres (Argentina)
11;movie;0126029;Shrek;Shrek (Spain);Shrek (Argentina)
11;show;0386676;The Office;The Office (Spain);The Office (Argentina)
11;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
11;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
