USER;TIPO;CODE;ORIGINAL;SPAIN;LATAM
12;movie;1272886;Small Apartments;Mi vecino, el asesino (Spain);La habitación de Franklin (Argentina)
12;movie;0073650;Salò, or the 120 Days of Sodom;Saló o los 120 días de Sodoma (Spain);Salò, o las 120 jornadas de Sodoma (Argentina) (cable TV title)
12;movie;0144084;American Psycho;American Psycho (Spain);Psicópata Americano (Chile)
12;show;0426769;Peppa Pig;Peppa Pig (Spain);ND
12;show;1837492;13 Reasons Why;Por trece razones (Spain);Por 13 razones (Argentina)
12;show;0285368;Ghost Stories;ND;ND
13;movie;2058673;Point Break;Point Break (Sin límites) (Spain);Punto de quiebre (Chile)
13;movie;0423294;Surf's Up;Locos por el surf (Spain);Reyes de las olas (Argentina)
13;movie;0076759;Star Wars: Episode IV - A New Hope;Star Wars: Episodio IV - Una nueva esperanza (Spain) (alternative title);La guerra de las galaxias (Chile)
13;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
13;show;0411008;Lost;Perdidos (Spain);Lost (Chile)
13;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
14;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
14;movie;0993846;The Wolf of Wall Street;El lobo de Wall Street (Spain);El lobo de Wall Street (Chile)
14;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
14;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
14;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
14;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
15;movie;0168629;Dancer in the Dark;Bailar en la oscuridad (Spain);Bailarina en la oscuridad (Argentina)
15;movie;1527186;Melancholia;Melancolía (Spain) (Castilian title);Melancolía (Argentina)
15;movie;0095327;Grave of the Fireflies;La tumba de las luciérnagas (Spain);La tumba de las luciérnagas (Chile)
15;show;1913273;Anohana: The Flower We Saw That Day;ND;ND
15;show;1910272;Steins;Gate;Steins;Gate (Spain);ND
15;show;9561862;Love, Death & Robots;Love, Death & Robots (Spain);Love, Death & Robots (Argentina)
16;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
16;movie;1454029;The Help;Criadas y señoras (Spain);Historias cruzadas (Chile)
16;movie;1049413;Up;Up (Spain);Up: Una Aventura de Altura (Chile)
16;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
16;show;4574334;Stranger Things;Stranger Things (Spain);Stranger Things (Argentina)
16;show;0108778;Friends;Friends (Spain);Friends (Argentina)
17;movie;1972779;The Best of Me;Lo mejor de mí (Spain);Lo mejor de mí (Chile)
17;movie;0251127;How to Lose a Guy in 10 Days;Cómo perder a un chico en 10 días (Spain);Cómo perder a un hombre en 10 días (Argentina)
17;movie;1231583;Due Date;Salidos de cuentas (Spain);Todo un parto (Argentina)
17;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
17;show;1405406;The Vampire Diaries;Crónicas vampíricas (Spain);ND
17;show;5674718;Cable Girls;Las chicas del cable (Spain);ND
18;movie;0454848;Inside Man;Plan oculto (Spain);El plan perfecto (Argentina)
18;movie;8367814;The Gentlemen;The Gentlemen: Los señores de la mafia (Spain);Los caballeros: criminales con clase (Chile)
18;movie;0079470;Monty Python's Life of Brian;La vida de Brian (Spain);La vida de Brian (Chile)
18;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
18;show;1475582;Sherlock;Sherlock (Spain);ND
18;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
19;movie;0086250;Scarface;El precio del poder (Spain);Caracortada (Chile)
19;movie;0829482;Superbad;Supersalidos (Spain);Super cool (Argentina)
19;movie;3315342;Logan;Logan (Spain);Logan (Chile)
19;show;3322312;Daredevil;Daredevil (Spain);Daredevil (Argentina)
19;show;0412142;House;House (Spain);Dr. House (Chile)
19;show;5675620;The Punisher;The Punisher (Spain);The Punisher (Argentina)
20;movie;0120338;Titanic;Titanic (Spain);Titanic (Argentina)
20;movie;1707386;Les Misérables;Los miserables (Spain);Los miserables (Chile)
20;movie;0458352;The Devil Wears Prada;El diablo viste de Prada (Spain);El Diablo Viste a la Moda (Chile)
20;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
20;show;8740790;Bridgerton;Los Bridgerton (Spain);Bridgerton (Argentina)
20;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
21;movie;0121766;Star Wars: Episode III - Revenge of the Sith;Star Wars: Episodio III - La venganza de los sith (Spain);Star Wars: Episodio III - La venganza de los Sith (Argentina)
21;movie;2582802;Whiplash;Whiplash (Spain);Whiplash, Música y Obsesión (Chile)
21;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
21;show;8111088;The Mandalorian;The Mandalorian (Spain);The Mandalorian (Argentina)
21;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
21;show;7366338;Chernobyl;Chernobyl (Spain);Chernobyl (Argentina)
22;movie;2294449;22 Jump Street;Infiltrados en la universidad (Spain);Comando especial 2 (Chile)
22;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
22;movie;1825683;Black Panther;Black Panther (Spain);Pantera Negra (Chile)
22;show;0386676;The Office;The Office (Spain);The Office (Argentina)
22;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
22;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
23;movie;0105236;Reservoir Dogs;Reservoir Dogs (Spain);Perros de la calle (Chile)
23;movie;0942385;Tropic Thunder;Tropic Thunder: ¡Una guerra muy perra! (Spain);Una guerra de película (Chile)
23;movie;5463162;Deadpool 2;Deadpool 2 (Spain);Deadpool 2 (Chile)
23;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
23;show;5626028;My Hero Academia;My Hero Academia (Spain);ND
23;show;2741602;The Blacklist;The Blacklist (Spain);The Blacklist (Argentina)
24;movie;1014759;Alice in Wonderland;Alicia en el País de las Maravillas (Spain);Alicia en el país de las maravillas (Argentina)
24;movie;1587310;Maleficent;Maléfica (Spain);Maléfica (Chile)
24;movie;3183660;Fantastic Beasts and Where to Find Them;Animales fantásticos y dónde encontrarlos (Spain);Animales fantásticos y dónde encontrarlos (Chile)
24;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
24;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
24;show;5421602;Anne with an E;Anne with an E (Spain);Anne with an E (Argentina)
25;movie;0245429;Spirited Away;Chihiroren bidaia (Spain) (Basque title);El viaje de Chihiro (Chile)
25;movie;0414387;Pride & Prejudice;Pride & Prejudice (Orgullo y prejuicio) (Spain);Orgullo y prejuicio (Argentina)
25;movie;10530176;The Call;El teléfono (Spain);ND
25;show;7078180;Violet Evergarden;ND;ND
25;show;12343534;Jujutsu Kaisen;Jujutsu Kaisen (Spain);ND
25;show;13067118;The Penthouse: War in Life;ND;ND
26;movie;0232500;The Fast and the Furious;A todo gas (Spain) (alternative title);Rápido y furioso (Argentina)
26;movie;0322259;2 Fast 2 Furious;2 Fast 2 Furious: A todo gas 2 (Spain);+rápido +furioso (Chile)
26;movie;1905041;Fast & Furious 6;Fast & Furious 6 (Spain);Rápidos y furiosos 6 (Chile)
26;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
26;show;4474344;Blindspot;Blindspot (Spain);ND
26;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
27;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
27;movie;0993846;The Wolf of Wall Street;El lobo de Wall Street (Spain);El lobo de Wall Street (Chile)
27;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
27;show;1520211;The Walking Dead;The Walking Dead (Spain);The Walking Dead (Argentina)
27;show;0108778;Friends;Friends (Spain);Friends (Argentina)
27;show;8005374;Explained;En pocas palabras (Spain);En pocas palabras (Argentina)
28;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
28;movie;1504320;The King's Speech;El discurso del rey (Spain);El discurso del rey (Chile)
28;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
28;show;2531336;Lupin;Lupin (Spain);Lupin (Argentina)
28;show;0108778;Friends;Friends (Spain);Friends (Argentina)
28;show;7134908;Elite;Élite (Spain);ND
29;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
29;movie;12133722;Have a Good Trip;Buen viaje: Aventuras psicodélicas (Spain);Buen viaje: Aventuras psicodélicas (Argentina)
29;movie;1570728;Crazy, Stupid, Love.;Crazy, Stupid, Love. (Spain);Loco y estúpido amor (Chile)
29;show;1442437;Modern Family;Modern Family (Spain);Modern Family (Argentina)
29;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
29;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
30;movie;0451279;Wonder Woman;Wonder Woman (Spain);Mujer Maravilla (Chile)
30;movie;1041829;The Proposal;La proposición (Spain);La propuesta (Argentina)
30;movie;0425123;Just Like Heaven;Ojalá fuera cierto (Spain);Como si fuera cierto (Argentina)
30;show;1442109;Life Unexpected;Una vida inesperada (Spain);ND
30;show;2399794;Chasing Life;ND;ND
30;show;0460627;Bones;Bones (Spain);ND
31;movie;0230011;Atlantis: The Lost Empire;Atlantis: El imperio perdido (Spain);Atlantis: El imperio perdido (Chile)
31;movie;0325980;Pirates of the Caribbean: The Curse of the Black Pearl;Piratas del Caribe: La maldición de la Perla Negra (Spain);La maldición del Perla Negra (Argentina)
31;movie;0449088;Pirates of the Caribbean: At World's End;Piratas del Caribe: En el fin del mundo (Spain);Piratas del Caribe - En el fin del mundo (Argentina)
31;show;0948103;Tengen toppa gurren lagann;ND;ND
31;show;3837246;Assassination Classroom;Assassination Classroom (Spain);ND
31;show;5249462;Erased;Desaparecido (Spain);ND
32;movie;10431500;Miracle in Cell No. 7;Milagro en la celda 7 (Spain);ND
32;movie;10676012;To All the Boys: Always and Forever;A todos los chicos: Para siempre (Spain);A todos los chicos: Para siempre, Lara Jean (Argentina)
32;movie;3799232;The Kissing Booth;Mi primer beso (Spain);El stand de los besos (Argentina)
32;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
32;show;2261391;Chicago Fire;Chicago Fire (Spain);ND
32;show;0452046;Criminal Minds;Mentes criminales (Spain);ND
33;movie;0120689;The Green Mile;La milla verde (Spain);Milagros inesperados (Argentina)
33;movie;1935859;Miss Peregrine's Home for Peculiar Children;El hogar de Miss Peregrine para niños peculiares (Spain);Miss Peregrine y los niños peculiares (Chile)
33;movie;0223897;Pay It Forward;Cadena de favores (Spain);Cadena de favores (Argentina)
33;show;4574334;Stranger Things;Stranger Things (Spain);Stranger Things (Argentina)
33;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
33;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
35;movie;0499549;Avatar;Avatar (Spain);Avatar (Argentina)
35;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
35;movie;1392170;The Hunger Games;Los juegos del hambre (Spain);Los juegos del hambre (Chile)
35;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
35;show;2661044;The 100;Los 100 (Spain);ND
35;show;5753856;Dark;Dark (Spain);Dark (Argentina)
45;movie;1586265;What to Expect When You're Expecting;Qué esperar cuando estás esperando (Spain);Qué esperar cuando estás esperando (Chile)
45;movie;2119532;Hacksaw Ridge;Hasta el último hombre (Spain);Hasta el último hombre (Chile)
45;movie;0251127;How to Lose a Guy in 10 Days;Cómo perder a un chico en 10 días (Spain);Cómo perder a un hombre en 10 días (Argentina)
45;show;1864750;The Time in Between;El tiempo entre costuras (Spain);El tiempo entre costuras (Chile)
45;show;1094229;Heartland;Heartland (Spain);ND
45;show;7817340;New Amsterdam;New Amsterdam (Spain);ND
46;movie;0118799;Life Is Beautiful;La vida es bella (Spain);La vida es bella (Argentina)
46;movie;0066921;A Clockwork Orange;La naranja mecánica (Spain);La naranja mecánica (Chile)
46;movie;0993846;The Wolf of Wall Street;El lobo de Wall Street (Spain);El lobo de Wall Street (Chile)
46;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
46;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
46;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
47;movie;1401106;Coraline;ND;ND
47;movie;0245429;Spirited Away;Chihiroren bidaia (Spain) (Basque title);El viaje de Chihiro (Chile)
47;movie;0095444;Killer Klowns from Outer Space;Killer Klowns (Payasos asesinos) (Spain) (DVD title);Asesinos de otra galaxia (Argentina)
47;show;0233127;Yo soy Betty, la fea;Yo soy Betty, la fea (Spain);Betty, la fea (Argentina) (short title)
47;show;1442437;Modern Family;Modern Family (Spain);Modern Family (Argentina)
47;show;0412142;House;House (Spain);Dr. House (Chile)
48;movie;0848228;The Avengers;Marvel: Los Vengadores (Spain) (alternative title);The Avengers: Los vengadores (Chile)
48;movie;3882082;The Boy;The Boy (Spain);El niño (Chile)
48;movie;1636826;Project X;Project X (Spain);Proyecto X (Chile)
48;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
48;show;2955402;Velvet;Galerías Velvet (Spain) (working title);ND
48;show;2006421;Gran Hotel;Gran Hotel (Spain);ND
49;movie;1291584;Warrior;Warrior (Spain);La última pelea (Argentina)
49;movie;1675434;The Intouchables;Intocable (Spain);Amigos (Chile)
49;movie;0328880;Brother Bear;Hermano oso (Spain);Tierra de osos (Chile)
49;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
49;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
49;show;6257970;The End of the F***ing World;The End of the F***ing World (Spain);The End of the F***ing World (Argentina)
50;movie;0266543;Finding Nemo;Buscando a Nemo (Spain);Buscando a Nemo (Chile)
50;movie;0120783;The Parent Trap;Tú a Londres y yo a California (Spain);Juego de gemelas (Argentina)
50;movie;0454921;The Pursuit of Happyness;En busca de la felicidad (Spain);En busca de la felicidad (Argentina)
50;show;6315640;Atypical;Atípico (Spain);ND
50;show;2085059;Black Mirror;Black Mirror (Spain);ND
50;show;1520211;The Walking Dead;The Walking Dead (Spain);The Walking Dead (Argentina)
51;movie;10879920;My Tender Matador;ND;Tengo Miedo Torero (Argentina)
51;movie;10431500;Miracle in Cell No. 7;Milagro en la celda 7 (Spain);ND
51;movie;0110413;Léon: The Professional;El profesional (Léon) (Spain);El perfecto asesino (Argentina)
51;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
51;show;7562112;Pose;Pose (Spain);ND
51;show;2707408;Narcos;Narcos (Spain);ND
52;movie;0325980;Pirates of the Caribbean: The Curse of the Black Pearl;Piratas del Caribe: La maldición de la Perla Negra (Spain);La maldición del Perla Negra (Argentina)
52;movie;1872194;The Judge;El juez (Spain);El juez (Chile)
52;movie;0240772;Ocean's Eleven;Ocean's Eleven (Spain);La gran estafa (Argentina)
52;show;0412142;House;House (Spain);Dr. House (Chile)
52;show;1190634;The Boys;The Boys (Spain);The Boys (Argentina)
52;show;3107288;The Flash;The Flash (Spain);ND
53;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
53;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
53;movie;1392170;The Hunger Games;Los juegos del hambre (Spain);Los juegos del hambre (Chile)
53;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
53;show;5651844;Travelers;Viajeros (Spain);Viajeros (Argentina)
53;show;0898266;The Big Bang Theory;Big Bang (Spain);La teoría del Big Bang (Argentina)
54;movie;0330373;Harry Potter and the Goblet of Fire;Harry Potter y el cáliz de fuego (Spain);Harry Potter y el cáliz de fuego (Argentina)
54;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
54;movie;0450259;Blood Diamond;Diamante de sangre (Spain);Diamante de sangre (Argentina)
54;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
54;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
54;show;8420184;The Last Dance;El último baile (Spain);El último baile (Argentina)
55;movie;0468569;The Dark Knight;El caballero oscuro (Spain);Batman - El caballero de la noche (Argentina)
55;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
55;movie;0332452;Troy;Troya (Spain);Troya (Argentina)
55;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
55;show;1355642;Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist: Brotherhood (Spain);ND
55;show;0214341;Dragon Ball Z;As bólas máxicas (Spain) (Gallegan title);Dragon Ball Z (Argentina)
56;movie;1375666;Inception;Origen (Spain);El origen (Chile)
56;movie;5311514;Your Name.;Your Name. (Spain);Your Name. (Chile)
56;show;1375666;Inception;Origen (Spain);El origen (Chile)
56;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
56;show;0212671;Malcolm in the Middle;Malcolm (Spain);Malcolm (Argentina)
57;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
57;movie;0319061;Big Fish;Big Fish (Spain);El gran pez (Argentina)
57;movie;7131622;Once Upon a Time... In Hollywood;Érase una vez en... Hollywood (Spain);Había Una Vez en Hollywood (Chile)
57;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
57;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
57;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
58;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
58;movie;0137523;Fight Club;El club de la lucha (Spain);El club de la pelea (Argentina)
58;movie;0078788;Apocalypse Now;Apocalypse Now (Spain);Apocalipsis Now (Argentina)
58;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
58;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
58;show;5421602;Anne with an E;Anne with an E (Spain);Anne with an E (Argentina)
59;movie;0211915;Amélie;Amelie (Spain);El fabuloso destino de Amelie Poulain (Chile)
59;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile)
59;movie;7784604;Hereditary;Hereditary (Spain);El legado del diablo (Chile)
59;show;0388629;One Piece;One Piece (Spain) (Gallegan title);One Piece (Chile)
59;show;2155025;Please Like Me;Please Like Me (Spain);ND
59;show;2372162;Orange Is the New Black;Orange Is the New Black (Spain);ND
60;movie;2278388;The Grand Budapest Hotel;El gran hotel Budapest (Spain);El Gran Hotel Budapest (Chile)
60;movie;1663662;Pacific Rim;Pacific Rim (Spain);Titanes del Pacífico (Chile)
60;movie;0383574;Pirates of the Caribbean: Dead Man's Chest;Piratas del Caribe: El cofre del hombre muerto (Spain);Piratas del Caribe - El cofre de la muerte (Argentina)
60;show;3322312;Daredevil;Daredevil (Spain);Daredevil (Argentina)
60;show;6763664;The Haunting of Hill House;La maldición de Hill House (Spain);ND
60;show;0460681;Supernatural;Sobrenatural (Spain);ND
61;movie;7713068;Birds of Prey;Aves de presa (y la fantabulosa emancipación de Harley Quinn) (Spain);Aves de presa (Chile)
61;movie;0816711;World War Z;Guerra mundial Z (Spain);Guerra mundial Z (Chile)
61;movie;0247638;The Princess Diaries;Princesa por sorpresa (Spain);El diario de la princesa (Argentina)
61;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
61;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
61;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
62;movie;0129290;Patch Adams;Patch Adams (Spain);Patch Adams (Argentina)
62;movie;2333784;The Expendables 3;Los mercenarios 3 (Spain);Los indestructibles 3 (Chile)
62;movie;0393162;Coach Carter;Entrenador Carter (Spain) (literal title);Juego de honor (Argentina) (video title)
62;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
62;show;9140560;WandaVision;Bruja Escarlata y Visión (Spain);WandaVision (Argentina)
62;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
63;movie;1028532;Hachi: A Dog's Tale;Siempre a tu lado (Spain) (alternative title);Siempre a tu lado (Chile)
63;movie;0317219;Cars;Cars (Spain);Cars (Argentina)
63;movie;0114709;Toy Story;Toy Story (Juguetes) (Spain) (complete title);Toy Story (Argentina)
64;movie;1201607;Harry Potter and the Deathly Hallows: Part 2;Harry Potter y las Reliquias de la Muerte - Parte 2 (Spain);Harry Potter y las Reliquias de la Muerte: Parte 2 (Chile)
64;movie;4857264;The Invisible Guest;El invitado invisible (Spain) (working title);Contratiempo (Argentina)
64;movie;0111161;The Shawshank Redemption;Cadena perpetua (Spain);Sueños de Libertad (Chile)
64;show;1442437;Modern Family;Modern Family (Spain);Modern Family (Argentina)
64;show;0411008;Lost;Perdidos (Spain);Lost (Chile)
64;show;5753856;Dark;Dark (Spain);Dark (Argentina)
65;movie;1041829;The Proposal;La proposición (Spain);La propuesta (Argentina)
65;movie;0381707;White Chicks;Dos rubias de pelo en pecho (Spain);¿Y Dónde Están Las Rubias? (Chile)
65;movie;1596363;The Big Short;La gran apuesta (Spain);La gran apuesta (Chile)
65;show;0108778;Friends;Friends (Spain);Friends (Argentina)
65;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
65;show;5421602;Anne with an E;Anne with an E (Spain);Anne with an E (Argentina)
66;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
66;movie;1375666;Inception;Origen (Spain);El origen (Chile)
66;movie;0468569;The Dark Knight;El caballero oscuro (Spain);Batman - El caballero de la noche (Argentina)
