Year,Semester,Section,Num in Sec,Facultad,Curriculo
2020,1,4,94,4,40013
2020,1,4,95,9,90001
2020,1,4,96,4,40013
2020,1,4,97,4,40013
2020,1,4,98,0,302
2020,1,4,99,4,40013
2020,1,4,100,9,90001
2020,1,4,101,9,90001
2020,1,4,102,5,50004
2020,1,4,103,9,90001
2020,1,4,104,2,20101
2020,1,4,105,2,20101
2020,1,4,106,9,90001
2020,1,4,107,9,90001
2020,1,4,108,12,120103
2020,1,4,109,9,90001
2020,1,4,110,9,90001
2020,1,4,111,9,90001
2020,1,4,112,2,20101
2020,1,2,1,4,40013
2020,1,2,2,9,90001
2020,1,2,3,9,90001
2020,1,2,4,2,20101
2020,1,2,5,11,110014
2020,1,2,6,6,62001
2020,1,2,7,4,40013
2020,1,2,8,2,20101
2020,1,2,9,4,40013
2020,1,2,10,11,110020
2020,1,2,11,4,40013
2020,1,2,12,11,110003
2020,1,2,13,6,61001
2020,1,2,14,10,100006
2020,1,2,15,9,90001
2020,1,2,16,2,20101
2020,1,2,17,4,40013
2020,1,2,18,2,20101
2020,1,2,19,9,90001
2020,1,2,20,4,40013
2020,1,2,21,4,40013
2020,1,2,22,4,40013
2020,1,2,23,9,90001
2020,1,2,24,4,40013
2020,1,2,25,9,90001
2020,1,2,26,2,20101
2020,1,2,27,6,62001
2020,1,2,28,9,90001
2020,1,2,29,9,90001
2020,1,2,30,4,40013
2020,1,2,31,9,90001
2020,1,2,32,2,20101
2020,1,2,33,6,62001
2020,1,2,34,9,90001
2020,1,2,35,4,40013
2020,1,2,36,9,90001
2020,1,2,37,9,90001
2020,1,2,38,9,90001
2020,1,2,39,9,90001
2020,1,2,40,3,30001
2020,1,2,41,4,40013
2020,1,2,42,11,110020
2020,1,2,43,4,40013
2020,1,2,44,4,40013
2020,1,2,45,9,90001
2020,1,2,46,2,20101
2020,1,2,47,9,90001
2020,1,2,48,2,20101
2020,1,2,49,9,90001
2020,1,2,50,9,90001
2020,1,2,51,4,40013
2020,1,2,52,4,40013
2020,1,2,53,9,90001
2020,1,2,54,2,20101
2020,1,2,55,5,50004
2020,1,2,56,3,30001
2020,1,2,57,9,90001
2020,1,2,58,9,90001
2020,1,2,59,4,40013
2020,1,2,60,2,20101
2020,1,2,61,6,61001
2020,1,2,62,9,90001
2020,1,2,63,9,90001
